GHCND,LAT,LON,ELEV,ST,NAME
USC00031838,35.2342,-93.1675,112.8,AR ,DARDANELLE
USC00031935,35.7214,-92.6961,530.4,AR ,DENNARD 10 WSW
USC00032930,36.4261,-94.4481,384.0,AR ,GRAVETTE                       
USC00033132,36.2747,-91.5056,121.9,AR ,HARDY
USC00033164,36.1956,-93.1061,345.0,AR ,HARRISON
USC00033242,34.5211,-90.59,59.4,AR ,HELENA
USC00033862,34.6033,-91.9928,70.4,AR ,KEO
USC00034625,34.8808,-92.3486,82.9,AR ,MARCHE
USC00034638,34.7392,-90.7664,71.3,AR ,MARIANNA 2 S
USC00035036,36.3458,-92.3939,243.8,AR ,MTN HOME 1 NNW
USC00035046,35.8444,-92.0978,218.2,AR ,MTN VIEW
USC00035820,36.2642,-90.9683,96.0,AR ,POCAHONTAS 1                   
USC00036174,33.9539,-92.2019,85.3,AR ,RISON
USC00036376,34.3703,-91.1242,61.0,AR ,SAINT CHARLES
USC00036562,34.3019,-92.3914,76.2,AR ,SHERIDAN
USC00037488,34.9228,-94.0944,218.2,AR ,WALDRON
USC00037712,35.1242,-90.1805,65.5,AR ,W MEMPHIS
USC00038052,35.2547,-90.7964,79.2,AR ,WYNNE
USC00040212,38.5731,-122.4406,522.7,CA ,ANGWIN PACIFIC UNION COLLEGE
USC00040379,37.0919,-119.5128,637.0,CA ,AUBERRY 2 NW
USC00040521,34.8928,-117.0219,676.7,CA ,BARSTOW
USC00040741,34.2431,-116.9169,2058.3,CA ,BIG BEAR LAKE
USC00040931,39.3886,-120.0936,1699.3,CA ,BOCA
USC00041194,34.1867,-118.3481,199.6,CA ,BURBANK VALLEY PUMP PLT
USC00041253,34.5822,-119.9817,242.3,CA ,CACHUMA LAKE
USC00041312,38.5961,-122.6014,121.9,CA ,CALISTOGA
USC00041316,41.3111,-122.8045,970.8,CA ,CALLAHAN
USC00041758,32.64,-117.0858,17.1,CA ,CHULA VISTA                    
USC00041948,39.1875,-122.0269,15.2,CA ,COLUSA 2 SSW
USC00041967,37.9833,-122.0692,12.2,CA ,CONCORD WWTP
USC00042012,36.0975,-119.5817,61.0,CA ,CORCORAN IRRIG DIST
USC00042239,32.9897,-116.5872,1414.3,CA ,CUYAMACA                       
USC00042319,36.4622,-116.8669,-59.1,CA ,DEATH VALLEY                   
USC00042500,39.5633,-120.8239,888.5,CA ,DOWNIEVILLE
USC00042574,41.1833,-122.2736,661.4,CA ,DUNSMUIR TRTMNT PLT
USC00042706,32.8006,-116.9281,150.9,CA ,EL CAJON
USC00042863,33.1211,-117.09,182.9,CA ,ESCONDIDO #2
USC00043578,38.4306,-122.8647,61.0,CA ,GRATON
USC00043824,40.9317,-121.5433,919.0,CA ,HAT CREEK
USC00043855,33.7044,-115.6289,417.6,CA ,HAYFIELD PUMPING PLT
USC00043882,35.6842,-121.1683,465.1,CA ,HEARST CASTLE
USC00044211,33.7572,-116.7067,1639.8,CA ,IDYLLWILD FIRE DEPT
USC00044405,34.1472,-116.2747,781.2,CA ,JOSHUA TREE
USC00044500,37.9567,-122.5447,44.2,CA ,KENTFIELD
USC00044555,36.2069,-121.1378,97.5,CA ,KING CITY
USC00044881,37.9567,-119.1194,2071.7,CA ,LEE VINING
USC00044890,36.3817,-119.0264,156.4,CA ,LEMON COVE                     
USC00044997,37.6922,-121.7692,146.3,CA ,LIVERMORE                      
USC00045064,34.6539,-120.4514,22.9,CA ,LOMPOC
USC00045118,37.0564,-120.8667,36.6,CA ,LOS BANOS
USC00045378,38.0131,-122.1142,12.2,CA ,MARTINEZ WTP
USC00045860,34.0864,-116.5622,958.6,CA ,MORONGO VALLEY N
USC00045915,37.8792,-121.9303,661.4,CA ,MT DIABLO JUNCTION
USC00045933,37.3436,-121.6425,1282.0,CA ,MT HAMILTON
USC00046144,37.5147,-122.0325,3.0,CA ,NEWARK
USC00046154,34.9456,-119.6828,658.4,CA ,NEW CUYAMA FIRE STN
USC00046168,37.2811,-121.0178,27.4,CA ,NEWMAN
USC00046377,33.2097,-117.395,3.0,CA ,OCEANSIDE MARINA
USC00046399,34.4478,-119.2275,227.1,CA ,OJAI                           
USC00046506,39.7458,-122.1997,77.4,CA ,ORLAND                         
USC00046572,34.2067,-119.1375,15.8,CA ,OXNARD WFO
USC00046597,38.7583,-120.5031,1051.6,CA ,PACIFIC HOUSE
USC00046624,34.5883,-118.0939,796.1,CA ,PALMDALE
USC00046719,34.1483,-118.1447,263.3,CA ,PASADENA                       
USC00046730,35.6278,-120.6856,222.5,CA ,PASO ROBLES                    
USC00046773,34.5025,-117.8969,945.2,CA ,PEARBLOSSOM
USC00046826,38.2578,-122.6078,6.1,CA ,PETALUMA AIRPORT               
USC00047248,33.0217,-117.0814,210.3,CA ,RANCHO BERNARDO
USC00047326,33.8342,-118.3758,43.3,CA ,REDONDO BEACH
USC00047339,37.4767,-122.2386,9.4,CA ,REDWOOD CITY
USC00047851,35.3056,-120.6619,93.9,CA ,SAN LUIS OBISPO POLY           
USC00047916,36.9906,-121.9911,39.6,CA ,SANTA CRUZ                     
USC00048122,35.4867,-119.1458,123.1,CA ,SHAFTER 6E
USC00048587,39.5861,-122.5342,243.8,CA ,STONY GORGE RSVR
USC00048606,39.5631,-121.1078,1160.7,CA ,STRAWBERRY VALLEY
USC00048758,39.1678,-120.1428,1898.9,CA ,TAHOE CITY                     
USC00049001,37.7967,-121.5828,18.6,CA ,TRACY PUMPING PLT
USC00049026,40.7264,-122.7947,567.2,CA ,TRINITY RVR HATCHERY
USC00049035,35.7636,-117.3908,516.6,CA ,TRONA
USC00049040,39.3181,-120.145,1798.3,CA ,TRUCKEE-TAHOE AP DIST
USC00049053,41.96,-121.4744,1229.9,CA ,TULELAKE
USC00049073,37.5006,-120.855,35.1,CA ,TURLOCK #2
USC00049099,34.1281,-116.0369,602.0,CA ,TWENTYNINE PALMS
USC00049102,34.1206,-115.85,419.4,CA ,TWENTYNINE PALMS 12E - WONDER
USC00049152,34.0697,-118.4428,131.1,CA ,U C L A
USC00049378,33.2353,-117.2322,131.1,CA ,VISTA
USC00049473,36.9308,-121.7692,29.0,CA ,WATSONVILLE WTR WKS
USC00049742,38.5253,-121.9778,41.1,CA ,WINTERS
USC00049785,34.1819,-118.5744,240.8,CA ,WOODLAND HILLS PIERCE COLLEGE
USC00049888,34.1294,-116.3878,990.3,CA ,YUCCA VALLEY
USC00050109,40.155,-103.1417,1383.8,CO ,AKRON 4 E
USC00050128,37.4703,-105.8569,2298.2,CO ,ALAMOSA 1E
USC00050454,39.4047,-105.4767,2356.1,CO ,BAILEY
USC00050848,39.9919,-105.2667,1671.5,CO ,BOULDER                        
USC00050950,39.9436,-104.8361,1528.9,CO ,BRIGHTON 3 SE
USC00051071,38.8247,-106.1275,2421.9,CO ,BUENA VISTA 2S
USC00051186,39.6553,-105.7089,3054.1,CO ,CABIN CREEK
USC00051268,37.0103,-102.5536,1251.2,CO ,CAMPO 7 S
USC00051294,38.46,-105.2256,1639.2,CO ,CANON CITY                     
USC00051443,38.9028,-107.8922,2075.4,CO ,CEDAREDGE 3E
USC00051539,38.115,-103.51,1264.0,CO ,CHERAW 1 N
USC00051609,38.4433,-107.5569,2137.0,CO ,CIMARRON
USC00051660,39.3672,-106.1897,3457.7,CO ,CLIMAX
USC00051681,39.8958,-105.3847,2728.0,CO ,COAL CREEK CANYON
USC00051948,37.8256,-106.9319,2628.6,CO ,CREEDE WTP
USC00051964,37.9806,-105.6897,2439.6,CO ,CRESTONE 2 SE
USC00052281,39.6261,-106.0353,2763.0,CO ,DILLON 1 E                     
USC00052294,38.9608,-105.2158,2784.0,CO ,DIVIDE 4NW
USC00052446,38.4758,-102.7769,1283.8,CO ,EADS                           
USC00052761,40.3689,-105.5108,2372.9,CO ,ESTES PARK 1 SSE
USC00052947,40.6483,-102.8594,1297.2,CO ,FLEMING 3SW
USC00053005,40.5764,-105.0858,1525.2,CO ,FT COLLINS                     
USC00053006,40.5756,-105.0236,1499.6,CO ,FT COLLINS 4 E
USC00053016,37.2308,-108.0514,2320.7,CO ,FT LEWIS
USC00053246,38.6825,-108.9731,1402.7,CO ,GATEWAY
USC00053486,39.1197,-108.5247,1471.0,CO ,GRAND JUNCTION WFO
USC00053489,39.0422,-108.4664,1450.8,CO ,GRAND JUNCTION 6 ESE
USC00053541,37.7333,-105.5119,2494.2,CO ,GREAT SAND DUNES NM
USC00053553,40.4022,-104.6992,1437.1,CO ,GREELEY UNC
USC00053652,38.6867,-105.3925,2717.3,CO ,GUFFEY 9SE
USC00053662,38.5253,-106.9672,2323.2,CO ,GUNNISON 3SW                   
USC00053867,40.4925,-107.2547,1971.1,CO ,HAYDEN
USC00054076,38.0517,-102.1317,1036.6,CO ,HOLLY                          
USC00054082,40.5453,-102.3411,1152.1,CO ,HOLYOKE
USC00054254,37.0856,-107.5333,1995.8,CO ,IGNACIO 8E
USC00054538,37.4536,-103.3219,1581.9,CO ,KIM 15 NNE
USC00054546,37.115,-103.2986,1602.3,CO ,KIM 10SSE
USC00054664,40.0575,-106.3681,2273.8,CO ,KREMMLING
USC00054736,38.0522,-107.3036,2656.0,CO ,LAKE CITY 1NNE
USC00054770,38.0936,-102.6306,1105.5,CO ,LAMAR                          
USC00054834,38.0636,-103.2153,1185.7,CO ,LAS ANIMAS                     
USC00055025,39.7556,-103.4986,1478.6,CO ,LINDON 5 WNW
USC00055236,40.435,-105.085,1548.4,CO ,LOVELAND 2N
USC00055420,40.2528,-108.6406,1767.2,CO ,MASSADONA
USC00055446,40.5158,-108.0947,1811.7,CO ,MAYBELL
USC00055484,40.0358,-107.9058,1898.6,CO ,MEEKER
USC00055531,37.1997,-108.4892,2176.9,CO ,MESA VERDE NP
USC00055706,37.5811,-106.1869,2344.5,CO ,MONTE VISTA 2W
USC00055934,40.9319,-103.8678,1578.9,CO ,NEW RAYMER 21 N
USC00055970,37.8122,-109.0133,2036.4,CO ,NORTHDALE
USC00056013,38.1314,-108.285,2137.0,CO ,NORWOOD #2
USC00056205,38.0264,-107.6725,2352.4,CO ,OURAY #2
USC00056266,39.1136,-108.3506,1448.1,CO ,PALISADE
USC00056320,38.3897,-108.9494,1660.2,CO ,PARADOX 2N
USC00056765,38.2597,-104.7169,1479.8,CO ,PUEBLO RSVR
USC00057020,38.15,-107.7583,2148.5,CO ,RIDGWAY
USC00057033,39.5572,-107.7261,1667.0,CO ,RIFLE 3ENE
USC00057050,37.7219,-107.2667,2893.2,CO ,RIO GRANDE RSVR
USC00057309,38.8417,-104.9742,2758.4,CO ,RUXTON PARK
USC00057317,37.9136,-104.9483,2176.6,CO ,RYE 1SW
USC00057450,37.8225,-107.1097,2952.6,CO ,SANTA MARIA RSVR
USC00057460,38.4039,-106.4236,2578.6,CO ,SARGENTS
USC00057572,37.715,-105.2353,2360.4,CO ,SHEEP MTN
USC00057656,37.8089,-107.6633,2830.1,CO ,SILVERTON
USC00057936,40.4883,-106.8233,2092.8,CO ,STEAMBOAT SPRINGS              
USC00058157,38.3422,-104.0567,1488.0,CO ,TACONY 13 SE
USC00058204,37.9492,-107.8736,2635.3,CO ,TELLURIDE 4WNW                 
USC00058429,37.1786,-104.4869,1837.9,CO ,TRINIDAD                       
USC00058690,40.9656,-105.2186,2138.2,CO ,VIRGINIA DALE 7 ENE
USC00058781,37.6303,-104.7956,1920.2,CO ,WALSENBURG 1 NW
USC00058793,37.3822,-102.2986,1212.5,CO ,WALSH 1 W
USC00058931,38.1311,-105.4661,2395.7,CO ,WESTCLIFFE
USC00058992,38.2797,-104.5214,1418.2,CO ,WFO PUEBLO
USC00058995,39.775,-105.1169,1645.3,CO ,WHEAT RIDGE 2
USC00059096,40.0375,-106.2039,2322.0,CO ,WILLIAMS FORK DAM
USC00059213,40.075,-103.5678,1333.2,CO ,WOODROW 6NNE
USC00059243,40.0714,-102.2328,1099.4,CO ,WRAY                           
USC00059265,40.1561,-106.9092,2394.8,CO ,YAMPA
USC00059278,37.5594,-108.6636,2161.0,CO ,YELLOW JACKET 4NE
USC00060227,41.8417,-73.0086,209.1,CT ,BAKERSVILLE
USC00060299,41.9211,-72.9636,216.4,CT ,BARKHAMSTED
USC00060973,41.7944,-72.9319,153.9,CT ,BURLINGTON
USC00061762,41.4,-73.4167,123.4,CT ,DANBURY
USC00063420,41.7675,-72.0531,149.4,CT ,HAMPTON
USC00064767,41.55,-72.7167,112.5,CT ,MIDDLETOWN 4 W
USC00065077,41.4078,-72.9028,54.9,CT ,MT CARMEL
USC00065445,41.9725,-73.2208,408.4,CT ,NORFOLK 2 SW
USC00067157,41.25,-73.35,91.4,CT ,SAUGATUCK RSVR
USC00067958,41.9983,-72.2606,224.3,CT ,STAFFORDVILLE
USC00068138,41.795,-72.2286,202.7,CT ,STORRS                         
USC00072730,39.1467,-75.5056,9.1,DE ,DOVER                          
USC00080236,27.1819,-81.3508,42.7,FL ,ARCHBOLD BIO STN
USC00080478,27.8864,-81.8325,33.8,FL ,BARTOW 1SE                     
USC00081163,28.6664,-82.0894,22.9,FL ,BUSHNELL 1 E
USC00081276,26.8639,-80.6256,9.1,FL ,CANAL PT USDA
USC00081306,25.6719,-80.1567,1.8,FL ,CAPE FLORIDA
USC00082298,26.6033,-81.1292,6.1,FL ,DEVILS GARDEN
USC00082441,24.7706,-80.9072,2.4,FL ,DUCK KEY
USC00082915,29.755,-81.5389,1.5,FL ,FEDERAL PT                     
USC00083020,25.1422,-80.9144,0.9,FL ,FLAMINGO RS
USC00083874,29.7653,-81.4697,3.0,FL ,HASTINGS 4NE
USC00084050,26.0281,-80.1342,2.7,FL ,HOLLYWOOD
USC00084320,24.9178,-80.6364,1.8,FL ,ISLAMORADA
USC00084366,30.2875,-81.3928,3.0,FL ,JACKSONVILLE BEACH
USC00084461,26.86,-80.0553,1.5,FL ,JUNO BEACH
USC00084571,24.55,-81.7833,1.8,FL ,KEY W WFO
USC00084802,27.9914,-82.0136,41.8,FL ,LAKELAND 2
USC00085359,25.9492,-81.7139,3.0,FL ,MARCO IS
USC00085612,28.1136,-80.6539,10.7,FL ,MELBOURNE WFO
USC00085667,25.7553,-80.3836,4.3,FL ,MIAMI NWSFO
USC00085973,27.9378,-81.5992,38.1,FL ,MTN LAKE
USC00086315,25.95,-80.2158,3.0,FL ,N MIAMI BEACH #2
USC00086842,30.2492,-85.6606,1.5,FL ,PANAMA CITY 5N
USC00087020,25.5819,-80.4361,3.0,FL ,PERRINE 4W                     
USC00087760,25.3867,-80.5936,2.1,FL ,ROYAL PALM RS
USC00087851,28.3378,-82.26,57.9,FL ,SAINT LEO                      
USC00088051,28.73,-80.8794,12.8,FL ,SCOTTSMOOR 2.5 SSW
USC00088782,27.7053,-82.4006,12.2,FL ,TAMPA BAY AREA WFO             
USC00088824,28.1522,-82.7539,2.4,FL ,TARPON SPGS SEWAGE PL          
USC00091500,31.1903,-84.2036,53.3,GA ,CAMILLA 3SE                    
USC00091732,34.0589,-85.2339,239.3,GA ,CEDARTOWN
USC00091908,34.9203,-85.2711,238.4,GA ,CHICKAMAUGA PK LARC
USC00091965,34.6158,-83.5428,423.7,GA ,CLARKESVILLE
USC00092266,31.985,-83.7747,93.9,GA ,CORDELE
USC00092283,34.5181,-83.5286,448.1,GA ,CORNELIA
USC00092361,31.8453,-83.9408,74.7,GA ,CRISP CO PWR DAM
USC00093060,34.1408,-82.855,164.6,GA ,ELBERTON 2 N
USC00093465,30.74,-82.1278,36.6,GA ,FOLKSTON 9 SW
USC00093621,34.3006,-83.86,356.6,GA ,GAINESVILLE                    
USC00093675,34.9089,-83.4575,863.2,GA ,GERMANY VALLEY
USC00094133,34.3517,-82.93,245.4,GA ,HARTWELL
USC00094138,34.3389,-82.8342,210.3,GA ,HARTWELL DAM
USC00094170,32.2842,-83.4681,74.7,GA ,HAWKINSVILLE                   
USC00094230,34.6997,-83.7261,455.1,GA ,HELEN
USC00094648,34.4758,-84.4461,446.5,GA ,JASPER 1 NNW
USC00094862,32.7128,-82.5414,94.8,GA ,KITE
USC00095165,33.8706,-83.1136,221.3,GA ,LEXINGTON
USC00095314,33.0125,-82.3914,98.1,GA ,LOUISVILLE 1 E
USC00095863,32.8753,-82.2156,85.3,GA ,MIDVILLE EXP STN
USC00097087,32.0467,-84.3711,152.4,GA ,PLAINS SW GA EXP STN
USC00097777,32.9744,-82.8045,137.5,GA ,SANDERSVILLE
USC00097827,34.6647,-83.7342,484.9,GA ,SAUTEE 3W
USC00098436,34.4547,-85.39,194.8,GA ,SUMMERVILLE
USC00098740,34.5786,-83.3319,308.5,GA ,TOCCOA                         
USC00099124,32.6094,-83.6164,128.0,GA ,WARNER ROBINS
USC00099194,33.0725,-82.0061,82.3,GA ,WAYNESBORO 2 S
USC00099486,33.9664,-83.2911,271.3,GA ,WINTERVILLE
USC00100010,42.9536,-112.8253,1342.6,ID ,ABERDEEN EXP STN               
USC00100218,42.7986,-112.8036,1374.6,ID ,AMERICAN FALLS
USC00100375,43.6356,-113.2989,1623.1,ID ,ARCO
USC00100803,42.3353,-111.385,1817.8,ID ,BERN                           
USC00101079,48.6928,-116.3103,632.5,ID ,BONNERS FERRY
USC00102159,46.0336,-116.3919,1202.4,ID ,COTTONWOOD 2 WSW
USC00102260,43.465,-113.5581,1797.4,ID ,CRATERS OF THE MOON
USC00102390,44.4667,-115.5667,1717.5,ID ,DEADWOOD DAM 15 N
USC00102707,44.2436,-112.2006,1661.2,ID ,DUBOIS EXP STN
USC00103143,46.0931,-115.5356,475.5,ID ,FENN RS                        
USC00103932,42.8114,-114.9239,883.0,ID ,HAGERMAN 2 SW
USC00104140,42.5972,-114.1378,1237.5,ID ,HAZELTON                       
USC00104384,43.7828,-113.0033,1469.1,ID ,HOWE
USC00104455,43.5139,-112.0125,1445.4,ID ,IDAHO FALLS - KIFI
USC00104456,43.3456,-111.7847,1776.4,ID ,IDAHO FALLS 16 SE
USC00104670,42.7325,-114.5192,1140.0,ID ,JEROME                         
USC00105177,44.6831,-113.3622,1828.8,ID ,LEADORE #2
USC00105567,42.3061,-113.3689,1378.0,ID ,MALTA
USC00105685,44.5664,-113.8953,1539.2,ID ,MAY 2SSE                       
USC00105708,44.8872,-116.1047,1531.6,ID ,MCCALL
USC00105716,42.6522,-112.1936,1453.9,ID ,MCCAMMON
USC00106152,46.7281,-116.9558,810.8,ID ,MOSCOW U OF I                  
USC00106250,42.0264,-115.3597,1570.3,ID ,MURPHY DESERT HOT SPRG
USC00106424,46.2325,-116.243,990.0,ID ,NEZPERCE
USC00106542,42.2342,-113.8981,1389.6,ID ,OAKLEY                         
USC00106764,43.35,-111.2167,1641.3,ID ,PALISADES
USC00106877,42.6283,-113.7622,1264.9,ID ,PAUL 1ENE
USC00106891,44.0764,-116.9311,655.3,ID ,PAYETTE                        
USC00107188,47.3111,-116.9544,885.4,ID ,PLUMMER 3 WSW
USC00107208,42.8917,-112.4086,1472.8,ID ,POCATELLO 2 NE
USC00107301,46.9603,-116.855,841.2,ID ,POTLATCH 3 NNE
USC00107346,42.0933,-111.8825,1438.4,ID ,PRESTON
USC00107386,48.3511,-116.8353,722.7,ID ,PRIEST RVR EXP STN             
USC00107673,43.0517,-114.155,1313.4,ID ,RICHFIELD
USC00107689,43.6758,-111.9125,1489.9,ID ,RIGBY
USC00108500,44.2964,-112.4094,1749.6,ID ,SMALL 6N
USC00108818,43.8867,-111.7367,1501.1,ID ,SUGAR CITY
USC00108937,43.4372,-111.2792,1645.0,ID ,SWAN VALLEY
USC00109950,44.9628,-115.4961,1539.2,ID ,YELLOWPINE
USC00111302,38.0733,-88.1805,102.1,IL ,CARMI 3
USC00111577,41.7372,-87.7775,189.0,IL ,CHICAGO MIDWAY AP 3SW          
USC00112223,41.9342,-88.7756,266.1,IL ,DE KALB
USC00112483,37.9878,-89.1931,128.0,IL ,DU QUOIN 4 SE                  
USC00112500,41.1072,-88.4111,191.4,IL ,DWIGHT
USC00112687,39.1181,-88.6244,190.5,IL ,EFFINGHAM 3SW
USC00112745,42.3161,-90.2269,205.7,IL ,ELIZABETH
USC00112931,38.3806,-88.3264,131.1,IL ,FAIRFIELD RADIO WFIW
USC00113106,38.6786,-88.4797,146.3,IL ,FLORA
USC00113312,42.3994,-90.3861,229.5,IL ,GALENA
USC00113384,41.4511,-90.1486,194.8,IL ,GENESEO
USC00114012,41.2542,-89.3378,157.0,IL ,HENNEPIN
USC00114198,40.4664,-87.685,216.4,IL ,HOOPESTON                      
USC00114355,41.4256,-91.0094,167.6,IL ,ILLINOIS CITY DAM 16
USC00114400,38.4931,-88.9703,173.7,IL ,IUKA 12 SW
USC00114447,39.7133,-90.2286,190.8,IL ,JACKSONVILLE 2
USC00114823,40.5839,-90.9686,210.3,IL ,LA HARPE                       
USC00115079,40.1519,-89.3386,177.7,IL ,LINCOLN                        
USC00115712,40.9125,-89.0339,228.6,IL ,MINONK                         
USC00115825,41.3708,-88.4336,159.7,IL ,MORRIS 1 NW
USC00115961,42.2553,-88.0769,256.0,IL ,MUNDELEIN 4 WSW
USC00116157,38.9917,-88.1828,161.8,IL ,NEWTON
USC00116200,40.5492,-88.95,240.8,IL ,NORMAL 4NE
USC00116344,40.11,-87.9567,205.7,IL ,OGDEN
USC00116610,39.6186,-87.6672,197.8,IL ,PARIS STP                      
USC00116663,40.4547,-88.1417,240.8,IL ,PAXTON 2 WSW
USC00116753,41.3503,-89.1072,189.0,IL ,PERU
USC00116765,40.0308,-89.8506,179.5,IL ,PETERSBURG 1N
USC00116897,42.0347,-89.6119,260.9,IL ,POLO 5NW
USC00116970,40.5914,-90.4642,198.1,IL ,PRAIRIE CITY 2S
USC00116998,41.3661,-89.4519,212.4,IL ,PRINCETON
USC00117457,41.6042,-88.085,195.1,IL ,ROMEOVILLE WFO
USC00117487,37.4747,-88.4122,121.9,IL ,ROSICLARE 5NW
USC00117551,40.1347,-90.4792,203.9,IL ,RUSHVILLE 4NE                  
USC00117636,38.6453,-88.9461,167.6,IL ,SALEM                          
USC00117952,39.9678,-87.8228,204.8,IL ,SIDELL 4N
USC00118186,39.8361,-89.625,177.1,IL ,SPRINGFIELD #2
USC00118293,42.3997,-89.9903,295.7,IL ,STOCKTON 3 NNE
USC00118684,39.7947,-88.2908,199.6,IL ,TUSCOLA
USC00120177,40.1117,-85.7164,256.3,IN ,ANDERSON SEWAGE PLT            
USC00120676,40.6683,-84.93,255.7,IN ,BERNE WWTP                     
USC00120784,39.1742,-86.5214,253.0,IN ,BLOOMINGTON INDIANA UNIV       
USC00120852,38.0303,-87.2736,121.9,IN ,BOONVILLE 1S
USC00121256,37.8994,-86.7072,122.5,IN ,CANNELTON
USC00121303,39.9617,-86.0586,229.2,IN ,CARMEL 3 E
USC00121326,39.88,-86.0514,251.2,IN ,CASTLETON 2 S
USC00121417,40.6653,-86.955,219.5,IN ,CHALMERS 5 W
USC00122096,40.8483,-84.93,239.3,IN ,DECATUR 1 N
USC00122620,38.87,-87.0917,146.3,IN ,ELNORA
USC00122731,37.9647,-87.5783,115.8,IN ,EVANSVILLE MUSEUM
USC00122814,39.2425,-87.3906,167.0,IN ,FARMERSBURG TV-2
USC00122825,40.2539,-85.1483,294.1,IN ,FARMLAND 5 NNW
USC00123078,40.9842,-86.8872,207.3,IN ,FRANCESVILLE
USC00123082,40.2986,-86.5067,251.2,IN ,FRANKFORT DISPOSAL
USC00123206,41.3414,-85.1292,268.2,IN ,GARRETT
USC00123207,41.3367,-85.1197,265.2,IN ,GARRETT 1 S
USC00123418,41.5575,-85.8825,266.7,IN ,GOSHEN 3SW                     
USC00123527,39.7858,-85.7611,264.9,IN ,GREENFIELD                     
USC00124244,41.6317,-87.0881,207.3,IN ,INDIANA DUNES NATIONAL  LAKESH
USC00124260,39.7067,-86.2808,240.8,IN ,INDIANAPOLIS NWFO
USC00124715,40.2964,-86.9028,223.1,IN ,LAFAYETTE 8 S
USC00124837,41.6117,-86.7297,246.6,IN ,LAPORTE                        
USC00125174,41.2647,-87.4178,202.7,IN ,LOWELL
USC00125407,39.4039,-86.453,180.4,IN ,MARTINSVILLE 2 SW
USC00126400,41.3589,-85.6997,289.9,IN ,NORTHERN INDIANA WFO
USC00126420,40.9936,-85.775,231.6,IN ,NORTH MANCHESTER WWTP
USC00126435,39.0017,-85.5997,226.5,IN ,N VERNON 2 ESE
USC00126580,38.8878,-86.5519,198.7,IN ,OOLITIC PURDUE EX FM           
USC00126830,40.0739,-87.5067,186.2,IN ,PERRYSVILLE 4 WNW
USC00126989,41.3392,-86.3358,248.4,IN ,PLYMOUTH
USC00127069,40.4175,-84.9925,277.4,IN ,PORTLAND 1 SW
USC00127125,38.3567,-87.5906,146.3,IN ,PRINCETON 1 W                  
USC00127522,39.7594,-87.2269,209.7,IN ,ROCKVILLE                      
USC00127959,39.1614,-87.2436,167.3,IN ,SHAKAMAK SP
USC00128036,38.5528,-86.7944,145.4,IN ,SHOALS 8 S                     
USC00128784,40.2233,-86.1086,271.3,IN ,TIPTON 5 SW
USC00128967,37.7953,-87.993,103.6,IN ,J T MYERS LOCKS & DAM
